"objectid";"art";"gewname";"aend";"shape"
7;"stehend";"Lößnitzteich 4";2024-05-24;"SRID=4326;POLYGON((13.71502907654878633537 51.11505005195845541266,13.71503204015279209216 51.11505492984852594418,13.7150325798949541678 51.1150601947692706517,13.7150314424101260613 51.11506463190546867281,13.7150303763398557777 51.11506906982650377813,13.71502860152205727218 51.11507850714905032419,13.71502807326365314111 51.11508518928831534822,13.71502789938359256894 51.11509403269469942188,13.71502808114929905514 51.1151028800096085547,13.71502832018062534303 51.11510971446608664337,13.7150286737368070078 51.1151260690591442426,13.71502874536738936229 51.11513713548573178969,13.71502875191508330488 51.11514436756676360574,13.71502876506010615287 51.11515033173562727598,13.71502595802789414847 51.11515520915622801112,13.71502241519470643993 51.11515988064874704833,13.71501708054910473322 51.11516378604675026054,13.71501056680607710803 51.11516693298307245641,13.71500374008369682599 51.11516946496900004604,13.71499740224881058737 51.11517245106818307931,13.71498928955667295781 51.11517555345213281726,13.71498060939862639884 51.11517804708134349312,13.7149714614606104135 51.11518035571280904605,13.71496239690696405944 51.1151828001519916711,13.71495227497936930661 51.11518576354445997367,13.71494227862953607655 51.11518883533054946611,13.71493145989247608441 51.11519219573877848006,13.71492066924597530431 51.11519557354105813829,13.71490943255779804133 51.11519906424560133473,13.71489818136047666997 51.11520256288309838055,13.71489284588643364771 51.11520387114595820321,13.71488386031287731726 51.11520655835345650075,13.71486112120231659617 51.11521075805868008501,13.71484798666218019036 51.1152131847326174352,13.71483331560868634824 51.11521589127870868197,13.71481868742745646728 51.11521859739492867902,13.71480303988845150798 51.11522148205273907706,13.71478742234183911819 51.11522436703814520342,13.71477180089560121701 51.11522734100732634488,13.71476506361702796255 51.11522875975472146592,13.71475637140246917056 51.11523060575326837807,13.71474085591631464354 51.11523393160222639153,13.71472536557011778768 51.115237329667877475,13.71470965546377485111 51.11524092405660013583,13.71469405658221951683 51.11524468063700510356,13.71467829092478041275 51.11524873214433029034,13.71466280312321472934 51.11525311943761806788,13.71464747306304587937 51.11525794911010223132,13.71463247558899389844 51.11526315024229205619,13.71461697574990346027 51.11526894926668518337,13.71460870211698868104 51.11527223780453965674,13.71460178260569051645 51.11527507450220042529,13.71458653079879219661 51.11528223236346235581,13.71457196311337334294 51.11528996518949696792,13.71456324168193141588 51.11529646732398646236,13.71455621659556278757 51.11530053397249417912,13.71454791220993740808 51.11530384914638602822,13.71454407006409503822 51.11530493999830326857,13.71453783675862858615 51.11530616553251604728,13.71453067390213043097 51.11530695908446375597,13.71452378460586452036 51.11530716211879621369,13.71450917242113121119 51.11530620110873002204,13.71449474726419381909 51.11530416391649112029,13.71448202782442038483 51.11528905735601568949,13.71445440510706070825 51.1152561943223417984,13.71445650251908787709 51.11524342602515957878,13.71445808749753503264 51.1152377447147259204,13.71446110532419382366 51.11523093707261722329,13.7144688179268836592 51.11522006414469387892,13.71447488963647032278 51.11521333504278175042,13.71447831666714023413 51.11520974952292561966,13.71448579709428194917 51.1152042049726986761,13.71449333392808256349 51.11519868712130687527,13.71450889805811534927 51.11518794547825450536,13.71451747776918672628 51.11518243099757086156,13.71452626775623429012 51.11517706181360409801,13.71453605179320511809 51.11517134474502199737,13.71454584986126690183 51.11516563682268809998,13.71455321665875715098 51.1151610973131909077,13.71456292458927528344 51.11515457005370421939,13.71456757153133843019 51.11515124974122414869,13.71458126579482694751 51.11514157566019633805,13.71458849025421322665 51.11513701659805519739,13.71459617988208634642 51.11513263351258018474,13.71461309856372778881 51.11512410009094509178,13.71463074158672768021 51.11511618524091460358,13.71464793189229780523 51.11510913861225446908,13.71466619035000888971 51.11510324401028526609,13.71468322250317939393 51.11509777747131266779,13.71470029768230247669 51.11509235636683001758,13.71471665986515375835 51.11508734918446350548,13.71473329697766452284 51.11508273171235572363,13.71475021593612986237 51.11507830618481307283,13.71476710514662578078 51.11507387133504209942,13.7147728317798023312 51.11507231647851057232,13.714783036579351716 51.1150695068901015361,13.71479894100805374535 51.11506503423256475571,13.7148038499504956178 51.11506365024252573903,13.71481297252777231677 51.1150606587919469348,13.71482722439099255496 51.11505658073539137831,13.71483153949978195385 51.1150554869793509738,13.71484171037318944286 51.11505333348728186138,13.71485651041993492072 51.11505061037248509592,13.7148707279233477152 51.11504828552887857995,13.71488520183665471563 51.11504650306975605645,13.7148993666454384055 51.11504556253461117876,13.71491361350198268099 51.11504526948180426871,13.71492716180786253233 51.11504543637518338528,13.71494071609845910587 51.11504595405194351088,13.71495273647072998813 51.11504660684677503468,13.71496472618926709686 51.11504738610192788428,13.7149752595711191816 51.1150481304652615222,13.71498582049671455252 51.1150489120008160171,13.71499289552051870089 51.11504767770794899207,13.7149999690725543644 51.11504649645598163943,13.71500712281044087604 51.11504551482572367149,13.71501439995027027408 51.11504523509027819728,13.71501860004625328315 51.11504571200466529035,13.71502252806117638784 51.11504672639595980854,13.71502907654878633537 51.11505005195845541266))"
8;"stehend";"Gickelsbergteich 1";2024-05-24;"SRID=4326;POLYGON((13.94153033583683765073 51.0479577727348257099,13.94148245279086673065 51.04795886781963787371,13.94141545752491673227 51.04795318279941085393,13.94124378628634275401 51.04795390375836205976,13.94115395022852332829 51.04794422841452217199,13.94110257038924416406 51.04792981244779781491,13.94106384271156962029 51.04791836899383383752,13.94104785177444760791 51.04790728442434044609,13.94104478358254795012 51.04789112183749466567,13.94104337045755315216 51.04788364775127007533,13.94104283409263445037 51.047880892909340389,13.94104991443953167618 51.04785180527822063823,13.94106799204805646752 51.04780447928291664539,13.94108290824793705553 51.04776315697436217533,13.94109055361154680952 51.0477167346455473762,13.94109315427490258799 51.04770091029168099794,13.94109720698693877239 51.04768322050939843848,13.94111676140904698684 51.04767122689965219706,13.94115720426800564269 51.04765993422752501374,13.94120876606482539728 51.04765634654267358883,13.94122058259978302885 51.04765535648096630439,13.94126354458542671466 51.04765177179570656563,13.94135162356925583538 51.04764900946008765459,13.94140666350698154474 51.04764923734232695551,13.94145014051619924089 51.04764940632967551437,13.94149434129739795196 51.04764967987715351683,13.94151732671990195911 51.04764982511003523769,13.94154016808261786764 51.0476499690336638082,13.94158670691305168532 51.04765469534703470345,13.94161860921388473855 51.04766339697844301782,13.94161904769576842966 51.04768234057281972582,13.94161908184351617024 51.04768647574690021429,13.9416191778888300945 51.04769603230911201308,13.94161926712091137404 51.0477046985277027602,13.94161935070441060702 51.04771292405055760355,13.94161977595613777225 51.04772305912984364795,13.94162013271719757768 51.04773181769863299451,13.94162030610345226478 51.04774048467928793116,13.94162091632710875899 51.0477493894274019226,13.94161892712854111664 51.04775842351141790232,13.94161351867101927837 51.04776675217395620621,13.94160857763325189751 51.0477751660040155457,13.94160329282928501016 51.0477837026190712777,13.94159833471634968305 51.04779161359953576493,13.94159305740941867668 51.04780044704263985977,13.94158771719358114183 51.04780884826395492837,13.94158254737004476453 51.0478167213554030468,13.94157887855298127988 51.04782565029979224391,13.94157798272033943476 51.04783497216096321836,13.94158558902690359105 51.04784156708323905605,13.94159310372254800825 51.0478491144064605578,13.94159487589514867523 51.04787776875556915002,13.94158947230081047053 51.04792156035547634474,13.94156157208947810489 51.04794563215568103942,13.94153033583683765073 51.0479577727348257099))"
9;"stehend";"Eisteich";2024-05-24;"SRID=4326;POLYGON((13.61051537748743989198 51.07210958736556705162,13.61048922770795321924 51.07214421587307384698,13.61037315947633352664 51.07215780831335649737,13.61030242085275432373 51.07216609599693413202,13.61028614720068929955 51.07208312336478428506,13.61025903343142928748 51.07208059590852400333,13.61025420010887465594 51.07208031271608206225,13.61022866574967693509 51.07208652988492048053,13.61018530941361426301 51.07208514472983296173,13.61016694060608323014 51.07207082896947980544,13.61010491842442782229 51.07205870727747765159,13.61006463804572064191 51.0720139245388580207,13.61007639827360016227 51.07195819033488959349,13.6100677142896486771 51.07193054347950322835,13.61008358813826824019 51.07189177571790139609,13.61006553450544132033 51.0718759960403332343,13.61008030054194861691 51.07184909568236008681,13.61013743083892890695 51.07183157693106068109,13.610238134626424511 51.07187675168017193528,13.61024709811812627436 51.07189326048892752397,13.61027175345133777284 51.07190061130941671763,13.61027456261839319041 51.0719014208018435852,13.61027631574736140863 51.07190136430747884333,13.61027928346551263417 51.07190178898843413435,13.61028465805797438293 51.07189758304337345862,13.61032435028769960184 51.07188947751048146984,13.61040193989937563401 51.07186837628593423233,13.61046118532330240214 51.07187011752954219901,13.61052220476166141339 51.07187625220150550831,13.61056445695587946432 51.07191063720016188654,13.61060384578549964374 51.07194769232328468433,13.61060222481199488698 51.0719591120774722981,13.61059887340381813203 51.07196835295506787133,13.61058335024605092656 51.07201058094126722153,13.6105815563730416784 51.07201614423403412957,13.61057790559946667486 51.07202718283867426408,13.61055215782025484827 51.07206064076154206077,13.61051537748743989198 51.07210958736556705162))"
10;"stehend";"Englischer Teich";2024-05-24;"SRID=4326;POLYGON((13.8688137560706312712 51.01209476913078333382,13.86877987931649514053 51.01210373613919557556,13.86876835589992040809 51.0121293701826559186,13.86879182768321250308 51.0122001445104871209,13.86873837537842746315 51.01232382265188647352,13.868593327004081317 51.01237301906590460021,13.86848539588674533718 51.01233796829303202003,13.8683843386963552291 51.01225935071381201169,13.8682707084079854809 51.01221142523990437212,13.86821028582414072616 51.01216003306075918999,13.86812021837959996162 51.01207892367271767853,13.86807301639817424643 51.01202473052885721927,13.86803309434771058761 51.01194420580187482983,13.86801485067807604423 51.01188985164560563135,13.86801055880750688232 51.01187414182736290513,13.86800759405216965092 51.01183144204876640515,13.86798250208195604216 51.01178681114615187653,13.86792770799364760137 51.01176822169718860778,13.86786733334684917907 51.01175471036397368607,13.86787225648686572299 51.01173799360549310222,13.86787522248922144286 51.01172794586187109189,13.86791057977658425671 51.01171138821149497744,13.86794853667317362067 51.01170105900423124012,13.86794899090847899004 51.01167121974621210256,13.86797789660924706823 51.01162056703657299295,13.86810000912453055832 51.01159568077000727726,13.86821179790862323955 51.01160153623477100382,13.86830915539330355557 51.01163359904840888248,13.86841508359662000771 51.01168181680510116394,13.8685014877305992087 51.01172951354746487596,13.86856122225966281292 51.01178579732027174032,13.86860880687177832726 51.01185239960354778077,13.8686748755315161219 51.01190896947471742351,13.86870153202108291168 51.01197018199386690185,13.86869413656508598365 51.01202758725531083428,13.86871417261033734292 51.01207562949220886139,13.8687665886240623081 51.01206724668509906451,13.86881222917650191562 51.01206377849287321169,13.86881279172840208957 51.01207522643547775942,13.8688137560706312712 51.01209476913078333382),(13.86814403459382916139 51.01175293981972203028,13.86807816856947539463 51.01174722345356826736,13.86807884353538078415 51.01177986952718867997,13.86811016976405852574 51.01182062373826653356,13.86811391288847516989 51.0118513220085105786,13.86811520196125258053 51.01186213940115266041,13.86811957961920604987 51.01187784015442616692,13.86814112751256189426 51.01191469744953366217,13.86818256848630959155 51.01196381045559746781,13.86818276939206562304 51.01200474873413526211,13.86821481596586380647 51.01205228780061418092,13.86825863857409224522 51.01204567360318264946,13.86827343466202222544 51.01200560002271089388,13.8682627310151396216 51.01188732495452171634,13.86820110101141168002 51.01180409179218600002,13.86814403459382916139 51.01175293981972203028))"
11;"sonstig";"Zwingerteich";2024-05-24;"SRID=4326;POLYGON((13.73292727403816826381 51.05263578719934258743,13.732886592507943746 51.05268557044747268492,13.73284458852110745397 51.05273518646345820571,13.73285193815079452406 51.0527376384741558013,13.73276331921807091874 51.05284489247461010564,13.73275594432577406678 51.05285381977200387382,13.73255380950016402153 51.05309599302516687658,13.73250003550163000909 51.0531665965449263922,13.73246741366889800418 51.05321238968757313614,13.73239548141484078769 51.05330134222629823171,13.73228569991500158665 51.05343557696931355849,13.73224518911371028196 51.05348537893123506137,13.7321402121343254521 51.05361544080124502898,13.73209332433156504294 51.05367418169316096055,13.73201827378840356175 51.05376603004712166012,13.73198117215439673089 51.05381266024679831617,13.73194532849065829794 51.05385549290275548628,13.73185086316559910813 51.05396679071831300689,13.73183189785706836972 51.05399117054818702854,13.73183177059098802886 51.05399896329345921231,13.73183574331324052764 51.05400547857576754041,13.73184395054551032445 51.05400991838771318498,13.73185432139780637328 51.05401251115829808214,13.731980731350233782 51.05402464095015346857,13.73202317252219373245 51.05402899354515966479,13.73205743640841447473 51.05403251099825467918,13.73210617395036869937 51.05404763789363187243,13.73213968274520979662 51.0540584286626497601,13.73215844260130147347 51.05406398024316416695,13.73221380315259487759 51.05407943883666632701,13.73223077071520492609 51.05408384775246588561,13.73224640747941371899 51.05408735193493185989,13.73227284328336139652 51.05409177362406580869,13.73230712965263755621 51.05409603765627224448,13.73240813105575064412 51.05410945613093787188,13.73247034299201452257 51.05411897537805998581,13.73250891486086366911 51.05412556822232517106,13.7325515224514180801 51.05413485772005088847,13.73260972046824690551 51.05414773086986457429,13.73264826722672715675 51.05415791065382791203,13.73270423345906721124 51.05417518314987290751,13.73274381193203907969 51.05418776529544544474,13.73277778743157639951 51.05420080826061024482,13.73281097920417614944 51.05421433642683126664,13.73286264739256523626 51.05423706318524779135,13.73290651074041512913 51.05425675743585145483,13.73294964639857695943 51.0542764527732941815,13.73297528624017260768 51.05428761662476944139,13.73299639534882921055 51.05429806587897445525,13.73301108087401090074 51.05430715141581998751,13.73302216091139271725 51.05431612592058598921,13.73302822609730178272 51.05432277985384814656,13.73303621895295023592 51.05433612649873964529,13.73303979652181894267 51.0543440574302138657,13.73304865061552781924 51.05438910879971814438,13.73306246976815536698 51.05446225197909626559,13.73308078290279254929 51.05458190016591402127,13.73308178800809642439 51.05459364226714313872,13.7330795773481835198 51.05460092591261656025,13.73307533538847735599 51.05460792764356625639,13.73306853391116710839 51.05461518040673496444,13.7330588465162310996 51.05462209612644386425,13.73305076490778553477 51.05462606340317677223,13.73303739144262358707 51.05463053896290404055,13.73302013399192667009 51.05463470262851899406,13.73299693659750708719 51.05463959416774599731,13.73296788981126859142 51.05464560754739267168,13.73295042033372581614 51.05464912231636276374,13.73291574932712855173 51.05465584899378939099,13.73288101196658850256 51.05466234022751592647,13.73285582234939461443 51.05466656265166847106,13.73283043961979643655 51.05467001858219333599,13.732805075797848815 51.05467220671683747923,13.7327794910032618958 51.05467365593351303232,13.73275945534627240363 51.05467458077855269494,13.73271515782073315393 51.05467652851693571847,13.73263956665299190263 51.05467898221583311624,13.73259707522102068822 51.05467958257823113399,13.73253905597273494266 51.05467942189432761779,13.73247312581014156763 51.05467702698449983245,13.73240786754256070878 51.05467040547931389938,13.73237334850842117362 51.05466581521157110046,13.73234106749931449087 51.05466020693485518223,13.73221230483869348404 51.05464121113853792622,13.732164436077320957 51.05463134375695233302,13.73211136258989384373 51.05461989200114913956,13.73203296945662010842 51.05460378778692387414,13.73195168632481966142 51.05457971505072833907,13.73192021045010413616 51.05457023137003602642,13.73184783638179951026 51.05454946388618964193,13.73179431235596048566 51.05451951594515236366,13.73174508755570322194 51.05449196986852911095,13.73172959902236378582 51.05447833585397887646,13.73171787754586503638 51.05446521934064207926,13.73168496828867013448 51.054420517426756021,13.73168542409826287098 51.05441741263683042007,13.73165526800643121419 51.05434657312109436589,13.73163529123643122887 51.05431975718703796474,13.73160986561653551519 51.05428509697924965849,13.73159910292754304351 51.05427182898732496596,13.73159011608778357072 51.05426249936378724215,13.73158203982889880024 51.05425530194126082506,13.73156891209971597334 51.05424561262267957318,13.73154677121216948876 51.05423116087195722912,13.73150873705766095156 51.05420640523767161767,13.73148959742700370157 51.05419224684493428867,13.73147763847317115449 51.05418255221616874451,13.73147208573085009675 51.05417798831241782409,13.73145531496425597595 51.0541632980679338516,13.73144218940262106798 51.05415034614258473766,13.73142664038467763987 51.05413376356480625873,13.73141724183737721887 51.05412117493641943611,13.73140412720855429995 51.05409952161764408629,13.73139555972268333051 51.05408210653858702699,13.73138977848387476399 51.05406507152656558901,13.73138453780120649128 51.0540407347701474805,13.73138269657822618797 51.05402618858929031376,13.73138168251606572312 51.05400586177306365698,13.73138528964274485134 51.05397928291193920813,13.73139200547949023701 51.05395428457064355143,13.73140581844269725309 51.0539206707526815876,13.73142368610048968947 51.05388999485365530973,13.73146416310741280142 51.05384466046982083753,13.73149149455383444263 51.05381269338784022693,13.73152000745624690126 51.05378077599370101325,13.73154582911887189312 51.05375131951036138389,13.73157054288111567075 51.05372381863823960657,13.73160104098146483409 51.05368921681383653777,13.73161877410937670163 51.05366920137996089579,13.73165446827689883946 51.05362923502842420476,13.73168355888668656917 51.05359705407767734187,13.7317124533950583043 51.05356479005560288442,13.73172853015187477865 51.05354638344108053616,13.73176051580174927835 51.05350955039798321877,13.73179243112652159198 51.05347372288593987832,13.73180835311776881724 51.0534563307760933526,13.73185224092716438804 51.05340822749190721197,13.73187610488069587689 51.05338152759186698404,13.73190611122934434718 51.05334819644095745161,13.73192897969398273972 51.05332346326215997578,13.73196274292326179989 51.05328735898914516156,13.73197936841403610231 51.05326922808020384537,13.73202350283498596184 51.05321892595082999833,13.7320552669658706435 51.05318235031752038822,13.73208963797720549849 51.05314279214247363825,13.73211762044689976392 51.05310994348022290978,13.73213140261770703887 51.05309252721227153415,13.73214657847361586107 51.05307527894120767087,13.73216350984453626438 51.05305539861246444389,13.73219807962712302185 51.05301586954038128852,13.73222334646710152128 51.0529884114005056972,13.73224874212139212659 51.05296098972470275612,13.73227479061641531644 51.05293207511306974311,13.73231286482918633851 51.05288955432077102614,13.73234991160890494655 51.05284912580572154184,13.73238068670490008572 51.05281478757519408873,13.73240698132125281461 51.05278422091402035221,13.73243634044078653744 51.0527526182319135728,13.73246554461440105399 51.05272203815069076427,13.73249562559973391274 51.05268855477854117453,13.73251608733924733485 51.05266577291587282161,13.73253654905854581614 51.05264299104938885421,13.73255534885347906027 51.0526220787605922169,13.73257580886217610328 51.05259930586154126786,13.73260483174704305043 51.05256699714673374046,13.7326354938105819059 51.05251488589698283249,13.73267137804295501269 51.05247520906712566102,13.73270726294979837689 51.0524355052548841627,13.73274314754945457651 51.05239581042114593856,13.73279688981961221828 51.05233625419249676725,13.73281723201541737467 51.05231365893182982063,13.73285053311087899885 51.05227665999505859418,13.73288176140500560507 51.052241894887856688,13.73290203143839605104 51.05221932670789897202,13.73295344432556497338 51.05216198257949145045,13.73300480074164298117 51.05210461173682290337,13.73303228333042191878 51.05207387795609008663,13.73305611618051180756 51.05204722154223162534,13.73332185961907470073 51.0521479473626698109,13.73333311264906342331 51.05215161072531060427,13.73297655208911471902 51.05259028691893519181,13.73296906476927325969 51.05258765266633247393,13.73292727403816826381 51.05263578719934258743))"
21;"sonstig";"Palaisteich";2024-05-24;"SRID=4326;POLYGON((13.76397298785936662568 51.03774258803979790855,13.76396928531363350601 51.03773866575165385484,13.76396533796583021569 51.03773483080276918145,13.76396106949502140537 51.03773127123624675505,13.76395632378904565485 51.03772795752287549931,13.76395015251316777949 51.0377244003110348558,13.76394276466507093915 51.03772100019569535334,13.76393827558676719036 51.03771929892121050898,13.76393362609047343881 51.03771772994356581421,13.76392884583388465103 51.0377163043679047405,13.76392293256050969319 51.03771479036767289017,13.76391580964287442157 51.0377132267007880273,13.76390959220024079457 51.03771220858711643587,13.763903306270082183 51.03771156655021457027,13.76389910522223658518 51.03771142318958453643,13.7638928262794308921 51.03771159058502604466,13.76388655345223455129 51.03771211775995197968,13.76388026184375590333 51.03771281470125131818,13.76387499278046355755 51.0377082643233421777,13.76388565151106568862 51.03770366750394771316,13.76350151298600721361 51.03731689884855882156,13.7635033896705625267 51.03731257244847796528,13.76350476390913080138 51.03730911753739718506,13.76350591192715278055 51.03730564134752256678,13.76350704812396763543 51.03730041232046943378,13.76350722816614435828 51.03729605987374640108,13.76350670620018590284 51.03729182410044984408,13.7635051734712607896 51.03728676557483368015,13.76350279517053465383 51.03728180511700429633,13.76349968628601772025 51.03727701678600681134,13.76349588984505523115 51.03727233808690044725,13.76349163208194248398 51.03726784335660937586,13.7634870567862375168 51.03726348915219546143,13.76348232486856559831 51.03725917825465785427,13.76430683055210479893 51.03693361763312452695,13.76431377896118846138 51.03693283678651937407,13.76432079472305858303 51.03693204406167183151,13.76432694389053779105 51.03693133569856144049,13.76433260099616973093 51.03693062662829760256,13.76433881354948063347 51.03692946569375976651,13.76434427402435467513 51.0369277302547956765,13.76434847989933452084 51.03692543747991550163,13.76435262697625816486 51.03692229875255037541,13.76435565107443537158 51.03691955282993575338,13.76435847745679730281 51.03691673287351449062,13.76436111964120456719 51.0369138669041788603,13.76436369079241472946 51.03691099029151700961,13.76517835780663467915 51.03658699937895448784,13.76518606494701124632 51.03659153049809305003,13.76519387572623287497 51.03659591882581025857,13.76520189282566519751 51.0366000575325955424,13.76521021938069289092 51.03660382270722095654,13.76521893079705805008 51.03660706046891704091,13.76522815703938462661 51.03660965708204599878,13.76523692355758576866 51.03661135854170538551,13.76524603235796107015 51.0366124709867818865,13.76525535822298529354 51.03661298320191974653,13.76526476901273277065 51.0366129297623345451,13.76527410882475521703 51.03661232700643779481,13.76528509150614887346 51.03661087469537704919,13.76529759960518539685 51.03660826942697781305,13.76531133164813347491 51.03660442348230930065,13.76532479047858714694 51.03660012410605872901,13.7653553418686076526 51.03662814317397788955,13.76538348426740832053 51.03661478572850285218,13.76541288894213366234 51.03660223298579268203,13.76544354469508135708 51.03659085263532801946,13.765475393050119024 51.03658075197287757874,13.76550846035314457083 51.03657201311099100849,13.7655319652489520621 51.03656683242316205451,13.76556801472364455208 51.03656067812684682394,13.76560465565134272481 51.0365569563458549851,13.76562918735005602855 51.03655607428959939398,13.765653680395324443 51.03655664686755955017,13.76567985077428346585 51.03655904472650917114,13.76570564733188994921 51.03656316526362246577,13.76573080206252974733 51.03656889593521839288,13.76575519136641645446 51.03657605737723201855,13.76577857811252769693 51.03658450230015120042,13.76580077835055071489 51.03659412174649645522,13.76582287548552763212 51.03660547482580511769,13.76584320485254764321 51.03661792344814784883,13.76586153805034484776 51.0366314211370877274,13.76587769161353413949 51.0366459479701788382,13.76589131578193914152 51.03666119359734665295,13.76590269546622380403 51.036677224877841752,13.7659118340322965679 51.03669391504829633277,13.76591884911703722594 51.03671107740044021739,13.76592374498640403147 51.0367286049644590662,13.76592661177868848199 51.03674632602932348391,13.76592728228441053773 51.03676725953693704696,13.76592548778483759975 51.03678278297613957193,13.76592131916967609584 51.03679801155630713083,13.76591705065607484926 51.0368079269884233895,13.76591135362787809981 51.0368178713990516826,13.76590050798967546086 51.03683225697444925117,13.76588735315402267645 51.03684599765253437909,13.7658670925351174219 51.03686322266396047098,13.76584228010192134661 51.03688062441982253858,13.76581539119204045107 51.03689667419263997772,13.76578687828730096498 51.03691162766136102391,13.76575908496955058524 51.03692472809721891736,13.76573006832738421679 51.03693668340186206933,13.76569962454585649425 51.03694700490688518357,13.76567514843199724339 51.0369538390522023974,13.76570227520235611962 51.03698198282456388597,13.76569388799393856004 51.03698699139562933169,13.76568568209983922657 51.03699210080294079717,13.76567785692670220499 51.03699737520370405264,13.76567059588552410787 51.03700289027697323263,13.76566409626434683844 51.03700873623700573489,13.7656585270000668686 51.03701499670361840799,13.76565468315864926296 51.03702068276516712331,13.76565168748805589871 51.03702665566586205159,13.76564965690525177422 51.03703280962552213396,13.76564865010336546902 51.03703902925606428198,13.76564872774350156703 51.03704523246382507295,13.76564993496887367996 51.03705133069616550756,13.76565212494550038969 51.03705689164316794404,13.76565623974423679954 51.03706408984159281772,13.76566240741290236826 51.03707293743525497121,13.7648536315890552828 51.0373934453962618818,13.76481342869755941649 51.03739865718280555029,13.76478815619542039883 51.03741938841168490626,13.76397298785936662568 51.03774258803979790855))"
22;"stehend";"Cunnersdorfer Dorfteich";2024-05-24;"SRID=4326;POLYGON((13.87788854773131674847 51.04254617003162053379,13.87788657406659531546 51.04254703147500293881,13.87788423567313955687 51.0425470476907179318,13.87787957742617450663 51.04254708030002518626,13.87787733177589366562 51.04254709560755998154,13.87787682907837982782 51.04255137045120704897,13.87787462819006378822 51.04256990235103330633,13.87786788570922880126 51.0425705903056368129,13.87785876083166947126 51.04257152157022403571,13.87784463912099042204 51.04257232931328047698,13.87783938044796627764 51.04257229770233550425,13.87783656688541533697 51.04257214298763756233,13.87783532179844314669 51.0425720743771549337,13.87783381413357020051 51.0425719510870763429,13.87783146829739955308 51.04257186201457585639,13.87782799801812672058 51.04257167041806297902,13.87782344912912790846 51.04257119148601162806,13.87780090517543207795 51.04256823310156221396,13.87779567614168740874 51.04256691580373228589,13.87779729727664168593 51.04255537653025243117,13.87779844812962615208 51.04254718345575270178,13.87779891374126783887 51.04254385339891797457,13.87779135452494116976 51.04254392469404422172,13.87777888033693329817 51.04254131120416815293,13.87776961969703748423 51.04253906490323799972,13.87776034032745364755 51.042535114287247211,13.87774728021146941614 51.04252882610732910962,13.87774027479680150066 51.04252540092342371736,13.87774207078914834312 51.04252345054747053155,13.87773490997254732804 51.04252049419399384078,13.87771969291907758759 51.04251421047700887357,13.87769566179940738948 51.04250384751207292311,13.87767054895196672248 51.04249285454984885746,13.8776508500696102999 51.04247652959237058212,13.87764532218773716465 51.04247158262372607851,13.87763379139303232535 51.04244657802771456545,13.87761295983995069037 51.04240570084978401155,13.87760583738087305505 51.04239165494277585822,13.8776011611787506439 51.04238363611978002155,13.87759399136629667737 51.04237101871218129645,13.8775861290498934153 51.04235730742406218496,13.87756847687814243386 51.04232606417910034224,13.87756258984673074508 51.04231579272034480255,13.87754343263641132467 51.04228189922762481956,13.87752861823241978811 51.04225589006072993925,13.87752063170472816012 51.04223575132376566899,13.87751993232300762315 51.0422340566585504007,13.87751779861627099422 51.04221492107976132502,13.87751574479449878652 51.04219596252696788952,13.87751421678840735296 51.04218263401769917209,13.87751482924640278327 51.04216012553980164057,13.87751500849251762304 51.0421517055092763826,13.87751664980122789927 51.04214948566563947452,13.87752640886929178521 51.0421372430873390158,13.87753993866565593862 51.04213129211413502162,13.87755252776136671855 51.04212572239133294261,13.87756834573192143978 51.04212248133885765355,13.87758430181395574721 51.04212302847658122573,13.87761055079860206263 51.04212400900174628759,13.87763158500496807335 51.04212479645177324983,13.87765059770786102433 51.04212506088691014838,13.87768174885467686863 51.04212535826171404096,13.87772260590515394085 51.04212570567327844628,13.87779309996714616204 51.04212643659457171452,13.87782539105587709116 51.0421267259928583826,13.87784197060552493497 51.04212691487410324953,13.87788085188344666676 51.04213163623822424597,13.87789583470268262033 51.04213952200038306728,13.87790160921493942681 51.04214252618418612428,13.87791129023541003562 51.04215576930337761041,13.87791705044871015673 51.04218026702697841301,13.87791799075717236178 51.0421848614814663847,13.87792194794494093912 51.04220764585144110015,13.87792197434607999185 51.04221611821647286433,13.87792195999520394878 51.04225213871623623163,13.87792195893527846806 51.04228814045854534243,13.87792185050808413393 51.04229758814633299835,13.87792333810925349269 51.0423128892807156376,13.87792442770866507828 51.04232405800174632304,13.87792501753821206023 51.04233034693037041052,13.87791383494646169083 51.04233444009213371828,13.8779025278469205773 51.04234144302478171085,13.8778939765875701795 51.04234886360440270892,13.87789178444047166749 51.04235870944920350212,13.87789368033499215471 51.04236945066123354309,13.87790967853088552886 51.04238514472168475322,13.87792403206372426894 51.04239121238931176094,13.87792350875909441754 51.04239634045153906072,13.87792196983549963818 51.04241185892838927884,13.87791992585301592555 51.04243121877375699569,13.87791668219779062099 51.04247000412492951682,13.87791600649411272173 51.0424776612959831823,13.87791269164088525656 51.04249902332425392615,13.8779096419092322634 51.04250758126023157502,13.87790668727737575239 51.04252779027371644816,13.87790333212702620358 51.0425387751298202943,13.87790300220436634504 51.04253985469433274602,13.87789423955613443695 51.0425436833208010512,13.87788854773131674847 51.04254617003162053379))"
