"gewna";"gwnr";"bemerk";"hgew";"ordn";"ordn_kz";"gewkz";"steckbrief";"merkm_steckbrief";"quelle";"grundlage";"grafik";"aend";"shape";"katnam";"kattime";"flaeche"
"Färberbornteich";"87";"Dresdner Heide, 400 m n Kreuzung Schneise 1 / Stallweg";;"2.Ordnung";2;"8000153843323";"kein Gewaessersteckbrief vorhanden";0;"AMT";"BOK DSK";2011-08-05;2024-10-07 20:50:31;"SRID=4326;POLYGON((13.89373345908894741285 51.11000401330288411827,13.89380622039809054513 51.11006357860682669525,13.89390924749099553992 51.11015934066304566841,13.89392974885445575239 51.11019721574373875228,13.89394075804810668728 51.11023614309839757652,13.89394560132513767314 51.11028148415814342798,13.89394640889930343519 51.11033263048618380253,13.89394787337382020098 51.11036397934225306017,13.89393298000139864712 51.11039512040103005575,13.8939124947121452891 51.1104498584145261475,13.89389834067170248488 51.1104876673425465583,13.8938859944921571099 51.11052993305865044249,13.89385780140653636749 51.11059594241328341013,13.89382116539881373285 51.11066206972400038921,13.89378208902402711544 51.11071025781375709585,13.8937560928054715248 51.11077154158972035702,13.89372841706498640235 51.11086134055103258333,13.89370862265365325072 51.11090926231498343668,13.89370527144060218916 51.1109204399849801348,13.89369650846278503309 51.1109412021089042355,13.89368282997977921411 51.11099372124105855164,13.89366316704218462519 51.11107448101802930296,13.89364417037901944241 51.11112733650922734796,13.89362518103951416037 51.11114512600357784322,13.89359597554797787211 51.11116502113172543886,13.89356020066086117026 51.11117770760317569056,13.89353658949542413836 51.1111797764053079618,13.89351133321313902513 51.11118074241919373435,13.89346372492287784439 51.11117771187683445078,13.8933461719486395225 51.11116634407459713429,13.89326805563526612275 51.11115633684077863563,13.89317237183775866072 51.11114651487216775649,13.89308081453028620444 51.11113606643221629611,13.89300318148133328577 51.11109029250518887011,13.89295502308960372773 51.11107082961447645175,13.89289235756854345993 51.11106026878633912247,13.89286271637660341582 51.11095425036386075135,13.8928186316054951277 51.11079655360174456291,13.89278501415405031594 51.11075961526156419268,13.89275263654930903101 51.11072334331979050148,13.89271921885876182046 51.11068223514597974599,13.89268437777038123215 51.11065585608646699711,13.89263517803319736288 51.11062021615308736955,13.89254210188723170916 51.11054844798194096711,13.89245621168669053702 51.11049275747743791953,13.89237616418547816011 51.11044174269792250698,13.89226492475191321319 51.1103657843066017108,13.89217703270201376142 51.11030123751705644963,13.8921023626148105734 51.11025107294573643912,13.89201862275662335833 51.1101890203809432478,13.89194473901360638024 51.11013764914599732947,13.89193029362068898536 51.11012187127337114134,13.89192387508247605865 51.11010484844416623673,13.89191917188611213874 51.11008294265644735788,13.89193918815493589136 51.11004963999567962674,13.89197200825734945795 51.11003032718637228982,13.89199708133673460964 51.11001788150839075797,13.89222209317954792596 51.10991851855167311669,13.89225739105815904395 51.10989767520217696983,13.89237704701403686158 51.10997569982514221465,13.89242099642411076843 51.10995735651587779103,13.89233246343598615624 51.10988737488200683856,13.89249424041705616162 51.10982573195772715735,13.89275483946043365791 51.10982895457757280155,13.89295116099993698811 51.10984682233132048168,13.89301089267374145209 51.10984862885818102995,13.8930791495549588177 51.10985284337047573899,13.89316002614204137444 51.10985538866213317988,13.89328912736002408224 51.10986022307793774644,13.89343224805143606204 51.10986937882548630796,13.8935181672931342689 51.10987360646309696222,13.89356114486142956821 51.10988690327970118688,13.89358336307945940291 51.10990664653613890778,13.89365724503515586719 51.10995456352532073652,13.89373345908894741285 51.11000401330288411827))";135;318203;13395.2564
"Hofewiese-Teich";"91";"Dresdner Heide, 100 m o Kreuzung Steingründchenweg / Alte Sieben";;"2.Ordnung";2;"8000153719661";"kein Gewaessersteckbrief vorhanden";0;"AMT";"BOK DSK, Ortsbegehung, Planunterlagen";2011-08-04;2024-10-07 20:50:29;"SRID=4326;POLYGON((13.83310788267705504495 51.10883403560845295033,13.83302682886166579124 51.10890728712835340275,13.83293778556381248279 51.10892357626266857551,13.832884331271316114 51.10893345176535973451,13.83285859927404004566 51.10893911930913446895,13.83282519669422327979 51.10894606637768333712,13.83279906113155099945 51.10895017413834295894,13.83276952749489829841 51.10895426595526913616,13.83271917081814983419 51.10895515709977132701,13.83266620116349088221 51.10895203026404232105,13.83260504726908912687 51.10894670030492648038,13.83257524271705385388 51.1089434009449874452,13.83253586751868091653 51.10893685046650602999,13.83250326507144478683 51.10892899261592248195,13.8324558145852432034 51.10891313853618100893,13.83240687527639956045 51.10889117519945301638,13.83237722026590788005 51.10887287381939358966,13.83235121952679058666 51.1088529821418831034,13.83237199185460397644 51.10882367006720272684,13.83240775274640554926 51.10877358969056416527,13.83244927651267275337 51.108768566448219417,13.8324896967379089574 51.10876532891820289706,13.83251330429659908816 51.10876465728391337962,13.83253582914240809032 51.10876494514887724563,13.832617146308836098 51.10877248993717358871,13.83264087257471430803 51.10877561169456129164,13.83267859485523665342 51.10878312584272720187,13.83274618986287585187 51.10879463242347497953,13.8328204472371396605 51.1088046767103350021,13.83294945961352517827 51.10881439611002008405,13.83295288996166227946 51.1088290102552633698,13.83301134888007588586 51.10882852451720026465,13.83310788267705504495 51.10883403560845295033))";135;318208;744.97499
"Großer Lößnitzteich";"62";"Wilschdorf, 350 m o Abzweig An der Jungen Heide / Lößnitzweg, 150 m nw Berggasse 27";;"2.Ordnung";2;"8000553731322123";"kein Gewaessersteckbrief vorhanden";0;"OekoProjekt";"BOK DSK";2007-07-16;2024-10-07 20:50:29;"SRID=4326;POLYGON((13.71562410738147619327 51.11489488848519613384,13.7156307156656325219 51.11489605819763681893,13.71563706820386840946 51.11489769182666975667,13.71564231515833931496 51.1148995741020186756,13.71564694702606068688 51.11490199818133106646,13.71565078517590841045 51.1149046563473419269,13.71565413215622797338 51.11490756091627929436,13.71565940775503378291 51.1149130478193427507,13.71566245230457425919 51.11491913071824200188,13.71566566897273808934 51.11492518942859675235,13.7156675058052908156 51.11492845420716690796,13.71566940192090733319 51.11493169355779286889,13.71567333864505755514 51.11493857762275894174,13.71567717505881489615 51.1149459363048066507,13.71567901561492064388 51.11494963367772470519,13.71568088358305281815 51.11495332145961612014,13.71568487694388949194 51.11496022413188455857,13.71568917091978967449 51.11496659053813118589,13.71569386688017466724 51.11497283546050596215,13.71569912137994329271 51.11497959910735033873,13.71570461659060136128 51.11498690496589603072,13.71570745530335422302 51.11499062139575499941,13.71571318346292756019 51.1149978218990241885,13.71571605697416629255 51.11500131389092160816,13.71572077518005983165 51.1150069628339593919,13.71572694952424065207 51.11501383910098894603,13.71573268301277614967 51.11501925009482505402,13.71573639580702419494 51.11502338979354220783,13.71573841025333706511 51.11502797846323176145,13.71573878782640676377 51.11503239627609218587,13.71573829338845840198 51.11503528562717235673,13.71573600943559156917 51.11504247906005815594,13.71572565657327302802 51.11504862163489093518,13.7157183224586507464 51.11505147182995045796,13.7157078005332131454 51.11505340571495281665,13.71569860142996688523 51.11505498542443604038,13.71568418175952075444 51.11505738908309837143,13.7156694237833249872 51.1150596271534922721,13.71565472293756471345 51.11506186584959010588,13.71564026746817077651 51.11506452990076354581,13.71562589320805969351 51.11506735671262191545,13.71559711098124445527 51.11507371049980008593,13.71556442676894604915 51.1150812534286771438,13.71553322105570771328 51.11508844388595917962,13.71551875950690302375 51.11509390281726439298,13.71551027394253097214 51.11509710905453118812,13.71550376008955041129 51.11509866429160098278,13.71548833443436699042 51.11510236083037739263,13.71547689049844898079 51.11510508402525232441,13.7154578416223795756 51.11510960316425666861,13.71544281819447164139 51.11511316922403835861,13.71542765288916498889 51.11511675080948435834,13.71541237585348760319 51.11512018817991531705,13.71539681442757441232 51.11512357656054206245,13.71538126868575879769 51.11512696601071326086,13.7153644997563795016 51.11513061989704453936,13.71534774651073718132 51.11513427485260052663,13.71532969959153014372 51.11513821145479141705,13.71531161081767713483 51.11514211162311482894,13.71529229370442592995 51.11514599829204996695,13.71527278974847519066 51.11514946114252921916,13.71525286752317107641 51.11515255068906071756,13.71523279450879684305 51.11515535889925843094,13.71521243192932004717 51.11515784108267723695,13.71519725503968700764 51.11515921208103208073,13.71519181939047982155 51.11515954803443406718,13.71517104420506250051 51.11516037100169285168,13.71515268442680657301 51.11516069982486243362,13.71513107612440052208 51.11515915931520481763,13.71512288138231561163 51.11515800901135264667,13.71511721674865036391 51.1151568136690883648,13.71511278348724616194 51.11515547088730215819,13.71510815328171872807 51.11515401712819084423,13.71509877529101828486 51.11514973421760288375,13.71508791458334464153 51.11514173177734932096,13.71508275333513360295 51.11513526589009615009,13.71507986333008410895 51.11512824942332144929,13.71507839815621032642 51.11512286731852583443,13.71507712306274839875 51.11511835870484077304,13.71507562229800569753 51.11511328106476526045,13.71507336607021443342 51.11510504944131128013,13.71507167535707871764 51.1150959517310496949,13.71507123135147132587 51.11509084074022979394,13.71507150808412589527 51.11508292472242942495,13.7150731259434159881 51.11507507650055259774,13.71507511783963728647 51.11507022609200134866,13.71507823167310746726 51.11506556786896737776,13.71508305479025935369 51.11506104533638961129,13.71508842703115860218 51.11505789574366076522,13.71509571708913277632 51.11505509006781977632,13.71510294740909152722 51.11505340783493522849,13.71511891254585968625 51.11505138094324962594,13.71513017582273796791 51.11504847504282622594,13.71514143884885861269 51.11504557813136528921,13.71515271665525403932 51.11504266339564139798,13.71515711845040108585 51.11504153460899146921,13.71516392426736352661 51.11503970382277373119,13.71517525532305903369 51.1150358993828959342,13.71518657231838034249 51.1150320866939225084,13.71519843562247409352 51.11502810015097963969,13.71521031438642879152 51.11502412276950479963,13.71522198672909453876 51.11502037603212045269,13.71523363072841483756 51.11501662088863184863,13.71524479849469457804 51.11501298551097960399,13.71525588296232101015 51.11500931414505544126,13.71526657904616364192 51.11500573743136044413,13.71527723305249857333 51.11500213237667367139,13.71528754292741680842 51.11499862335985966411,13.71529782308088485365 51.1149951041234942295,13.7153077050310301388 51.11499151846062005689,13.71531758747831375445 51.11498791481678694026,13.71532778666675334023 51.1149842238250116111,13.71533758359502641611 51.11498066420384844832,13.71534849159449187539 51.11497665815671354039,13.71535905134170718611 51.11497284522457107414,13.71536980927802140684 51.11496909831785728784,13.71538069154551564566 51.11496550475449396345,13.715391340522652186 51.11496208038945354701,13.71540198977246838297 51.11495864613436879154,13.71541228291994407584 51.11495517289401391281,13.71542245250572911175 51.1149515184392484457,13.71543318563069746574 51.11494763546289021861,13.71544411270656205204 51.11494397134279665806,13.71545606515926074565 51.11494042640042323455,13.7154682931397147172 51.11493719833249826934,13.71548097810434541088 51.1149340292405796049,13.71548987408086084372 51.11493096330553242979,13.71549890080353861777 51.11492787092848999464,13.71550796869618338292 51.1149247879958466001,13.71551634518178097721 51.11492195915730718525,13.71552474975854174488 51.11491914771308131549,13.71553398954129576737 51.11491604868116667149,13.71554000114199922677 51.11491348972423764963,13.71554733571902673361 51.11491062245910654838,13.71555496103778359895 51.11490809022173209542,13.71556223234832394553 51.11490595877090470367,13.71556957307852187 51.11490390002462191887,13.71557613482840665142 51.11490211059805233162,13.71558272480203832799 51.11490038533003144039,13.71558926626051544417 51.11489881240628818659,13.71559590423400543102 51.11489736554230489674,13.71560266698923769013 51.11489605583994944027,13.7156095373019724093 51.11489498922502860978,13.71561682211758181893 51.11489443165899615451,13.71562410738147619327 51.11489488848519613384))";135;318176;731.72461
"Gondler";"85";"Hellerau, 50 m n Abzweig Am Talkenberg / Heideweg";;"2.Ordnung";2;"8000153719722";"kein Gewaessersteckbrief vorhanden";0;"OekoProjekt";"Gewässerrand und Mauerinnenkante DSK";2007-07-11;2024-10-07 20:50:30;"SRID=4326;POLYGON((13.75573224721492771039 51.1103883958417313238,13.7557137328257290676 51.11039663942828781273,13.75570604113179307149 51.11039856206093645596,13.75569833684565246301 51.11040042160963281503,13.75569059258697812709 51.11040217371837002247,13.75568273868558932804 51.11040375289771020562,13.75567364418317062302 51.11040530088774858086,13.75566444170058133523 51.11040656085830846678,13.7556551193779625919 51.1104075488701639074,13.75564576000129157762 51.11040826760289235153,13.75563868132156741808 51.11040864190428578695,13.75563156414288457086 51.11040885392553434485,13.75562444986174526207 51.11040895806386430422,13.75561732516233170998 51.11040891820645271082,13.75561021812525552832 51.11040875263773841652,13.75560311422736070597 51.11040847019588539979,13.75559351945543973272 51.11040790045204573744,13.75558400164292471857 51.11040707163529361878,13.75557453561408749465 51.11040596369355881734,13.75556516418671293422 51.1104045249245046989,13.75555612826360629697 51.11040277497847483801,13.75554725907889519476 51.11040072105207343611,13.7555385520859925208 51.11039842604633776091,13.75553012272561126395 51.11039590018285849737,13.75552240863974162721 51.11039339092484112825,13.7555147398355614996 51.11039073826385248367,13.75550687492764012632 51.11038794052988976091,13.75550084421178098637 51.110385997747620479,13.75549475037603208705 51.11038496885856119434,13.7554900751873816489 51.1103852671156175802,13.75548660502100872804 51.11038607010385703688,13.75548327575335605388 51.11038715876349414202,13.75547912154187812916 51.11038875033111850144,13.75547130502695303278 51.11039212844953283366,13.75545976564383110485 51.11038497596651097865,13.7554508818243714785 51.11037947854281782156,13.7554597966637413009 51.11037398262730846454,13.75546268745341649264 51.1103716671826546758,13.75546470935816145698 51.1103693631725732871,13.75546594331921212984 51.11036661012924753322,13.75546624889787850066 51.11036427526001091337,13.75546605146911716133 51.1103623181288782007,13.75546533429367990209 51.11035976643847078549,13.75546299380364878573 51.11035388093284836941,13.75546195723489084628 51.11034992386879594051,13.75546139370427667359 51.11034324792790073388,13.75546142381794822995 51.11033787236656422692,13.75546152398436383635 51.11033095259184477754,13.75546187092448846556 51.110322344801865313,13.7554623936739304213 51.11031719031097253492,13.7554635935560760629 51.11031028134277676145,13.75546540658538496871 51.1103034148722485952,13.75546781584422717515 51.11029663568316294686,13.75547162168700054963 51.11028838845086141873,13.75547616607153322832 51.11028030195689098036,13.75547953691472713444 51.11027495296237788125,13.75548313694386948214 51.11026963428488301133,13.75548687814364079429 51.11026432520343121269,13.75549264040970953715 51.11025658350563105614,13.75549899620206772966 51.1102490828365958464,13.7555062982435547525 51.11024204097868306462,13.75551185378459706499 51.11023774041377976118,13.75551489202294064285 51.11023573229168448506,13.75552293788881463854 51.11023126039206943005,13.75553151776382954097 51.11022711791577677332,13.75560084327218035583 51.11018740447550356976,13.75575962385206452154 51.1101012789428779115,13.75587149852730739497 51.1100404624524742303,13.75587779671445431973 51.11004574348287121666,13.75590542361658030757 51.11005442411775590017,13.75600863987502364694 51.10999912416014012706,13.75607136377827188767 51.10998929244395583282,13.75621487322308311718 51.11006550869134912318,13.7562148316019694505 51.11006812334799320752,13.75621417929139767011 51.11011423946006004826,13.75608911670679646022 51.11018546899361325586,13.75610025729310592624 51.1102055613741370621,13.75611484299367504036 51.11021812118569584982,13.75594080722116530069 51.11029806241676709533,13.75584177503404070819 51.11034163979010713774,13.75573224721492771039 51.1103883958417313238))";135;318201;1301.52928
"Grenzwasserteich 2";"466";"Eschdorf, 750 m no Triebenberg (w Teich)";;"künstliches Gewässer";7;"800015371681921";"kein Gewaessersteckbrief vorhanden";0;"OekoProjekt";"DSK";2007-07-16;2024-10-07 20:50:27;"SRID=4326;POLYGON((13.93172543949815889164 51.03058329384000302298,13.93173001619139128593 51.03058414862729819106,13.93173450731274876091 51.03058537583239484547,13.93173889281927557704 51.03058685476888456378,13.9317446417648618251 51.03058913663475948397,13.93174846831013624637 51.03059110866083614155,13.93175270975824453501 51.03059413933259946816,13.93175516473117525607 51.03059708892465806684,13.93175669220483925415 51.03060012356259278477,13.93175798228490158692 51.03060411735829404734,13.93176023693886023125 51.03061336096285316444,13.93176182231120030508 51.03062249952840545575,13.93176281068329203094 51.0306316146507796816,13.93176325623510969365 51.03064076887544331385,13.93176329714608208121 51.0306470534026743735,13.93176300972793768551 51.03065335201466723447,13.9317623943732780134 51.03065964762876660643,13.93176139425624704415 51.03066593073268109038,13.93175991039673888849 51.03067216445047193929,13.93175845399124490598 51.03067664572679973389,13.93175770327490781142 51.03067890414469331972,13.93175360127724538017 51.03068742417263337074,13.93175183286000340388 51.03068990709912355896,13.93175021917990186182 51.03069161446413914973,13.9317476861796247789 51.03069360928727604687,13.93174306512849547346 51.03069573789890256421,13.93173673692941960667 51.03069737428653240841,13.93173273243968246504 51.03069793120106112383,13.93172546521771160144 51.03069841692078512096,13.93171396164433062381 51.03069837920017448596,13.93170387157292999802 51.03069764936718399895,13.93168911867398840343 51.03069571683594318756,13.93167462056751659816 51.03069324706561360472,13.93166493556104690299 51.03069158478434985682,13.93165164236819997257 51.03068943178156047225,13.93163849917928409639 51.03068695730797088572,13.93163336624960990662 51.03068573232478399859,13.93162611564786423912 51.03068363456516465249,13.93161917397676852204 51.03068112596184136009,13.93161262573078396088 51.03067825315055472402,13.93160657075809893968 51.03067501524574822724,13.93159846323811201785 51.03066987098988249727,13.93159481581416514473 51.03066730347619284203,13.93159144995889064944 51.03066458476031641567,13.93158824197685596857 51.03066182252391058682,13.93158598132538372738 51.03065972542187722638,13.93158392578748916435 51.0306573289371243618,13.93158195044105163163 51.03065355369339073377,13.93158175251307895337 51.03065062563371157012,13.93158243229636639171 51.03064853743113360451,13.93158431654718576453 51.03064560682664563274,13.93158761978096293888 51.03064149765309309714,13.93159448192551153056 51.03063288955826237725,13.93160080553711743789 51.03062506430654821088,13.93160348671247028562 51.03062189728380815268,13.93161016699424514798 51.0306146859022575768,13.9316148205253327319 51.03061071047621055641,13.93161831026896457786 51.03060835120308524893,13.93162117014796130832 51.03060677753554585934,13.93162557552457414545 51.03060484929433471279,13.93163872939635439252 51.03060071777238704271,13.93164440314183316616 51.03059882720591389216,13.9316518888745530802 51.030595660044077988,13.93166396058559186599 51.0305902146726424462,13.93166896169754309653 51.03058842676801276639,13.93167288493209454714 51.03058743386234397121,13.93167775587251711045 51.03058665555549566761,13.93168516578229798597 51.03058616574763561857,13.93169658471487082352 51.03058554172816485561,13.93171085878847215156 51.03058348787898523824,13.9317148607673573224 51.03058303975487319804,13.93171983987751794132 51.03058282898020792118,13.93172543949815889164 51.03058329384000302298))";135;319419;125.07087
"Weißiger Wiesenteich";"161";"Weißig, 200 m so Marienbad, 250 m n Abzweig Wiesenstr. / Heinrich-Lange-Str.";;"künstliches Gewässer";7;"8000153719632462";"kein Gewaessersteckbrief vorhanden";0;"AMT";"BUK DSK, Anschluss an Vermessung (Entwässerung)";2023-11-16;2024-10-07 20:50:30;"SRID=4326;POLYGON((13.87706694466899826068 51.06608143721988568586,13.87709367413800443103 51.06609255187262874642,13.87711226542862164024 51.06610043367673057446,13.87712745574603090404 51.06611993292509765752,13.87714611196516756308 51.06614441957810157646,13.87718319402737954249 51.06619147340538944491,13.87719362097775110954 51.06620292602845978536,13.87720524953826739534 51.06621060783891863366,13.87723463985615524052 51.06623131991193531576,13.87726873487433465471 51.06625442607744957968,13.87728014610379112526 51.0662632460745555818,13.87729095194940320823 51.06627237140501307522,13.8773083741980691741 51.0662891717578233397,13.877335097650348672 51.06632325470195610251,13.87739034895408529735 51.06636515566470535532,13.87742626423990799367 51.06639219831016873741,13.87744514040264398602 51.06640601082280284118,13.87749146536881283964 51.06643991777539071109,13.87751355740858905108 51.06646203629719593664,13.87753155633895119081 51.06648763077668462529,13.87753671752195394618 51.06649841319817539897,13.87753312930738580633 51.066517597163596065,13.87752521510816805517 51.0665304122801941844,13.87751491555650495968 51.06654808485865260081,13.87749532351097414562 51.06656362773823332191,13.87747224856446415231 51.06657270014906657707,13.87744218740293256076 51.06657923424955214387,13.8774204269210610363 51.06657998748372762066,13.87740082622575066296 51.06657287750606144527,13.87736588243843094403 51.06655534593355838524,13.87734173618240518522 51.06654504572080810476,13.87732097972420497456 51.06653019715120933597,13.87729402910291831574 51.06650897976160763392,13.87726527280039690027 51.06649756601271405998,13.87724474461750112653 51.06648160182211881875,13.87720753052860978016 51.06647243504036026707,13.8771739411517778251 51.06646387590576807725,13.8771406767904128543 51.06645863641320914894,13.87709717564003497614 51.06645006836761524482,13.87706108567451224189 51.06644440512597782345,13.87701035269943616868 51.06643702295831843685,13.87699232218224665303 51.06643114651630099843,13.87695294484822206016 51.06641866392190109991,13.8769320853881836797 51.06641144015224398345,13.8769128254433145031 51.06640523533985032145,13.87689665552052176167 51.06639631382692101624,13.87688907151509631888 51.06638763668211566937,13.8768843717118546266 51.06638150342467241671,13.87688087733603126139 51.06637598336540406763,13.8768773515425341003 51.0663678694924243473,13.87687587761602436842 51.06635818271794846623,13.87687986476520940471 51.06634776514911067125,13.87690294701532423005 51.06632123078547635942,13.8769170739153118177 51.06630611930257401809,13.87695715979403843221 51.06626272321597070913,13.87697439073607519333 51.06622609040303473193,13.87699087486948990033 51.0661904746874242278,13.87699783773929773645 51.0661726837647904631,13.87701071473703606785 51.06613762151562241343,13.87701937469112678514 51.06611528307144709515,13.8770173667227574299 51.0661074346831540538,13.87701468204323695943 51.06609694131756072011,13.87701424159041785344 51.06609060798175647733,13.87701743073570526121 51.06608697856917444824,13.87702381035247789498 51.0660843240492994255,13.87703137301070555054 51.0660817330532950109,13.87704673688687329047 51.06608013966420855922,13.87706694466899826068 51.06608143721988568586))";135;317984;1152.05373
"Langes Teich";"T17";"Weixdorf, 100 m s Abzweig Am Zollhaus / Altweixdorf";;"2.Ordnung";2;"8000253843666";"kein Gewaessersteckbrief vorhanden";0;"AMT";"DSK, DGM";2020-10-21;2024-10-07 20:50:28;"SRID=4326;POLYGON((13.79732072639925277713 51.14699124835472332506,13.79718951198339382813 51.14701248410051448445,13.79720309874876882361 51.14691562145208081347,13.79720405693748652709 51.14690879056485073306,13.7972194720645582322 51.14679889921806221764,13.79722004772876431389 51.14679479367899972431,13.79726741526840427809 51.14679286447312733799,13.79729003159714828541 51.14679479397533157226,13.79729736475141521623 51.14679583070572732595,13.79738263326948377596 51.1468109690543641932,13.79742324017365717737 51.14681815540307496804,13.79743025856577354205 51.14684599071088655364,13.79744160286643328561 51.14690013545705937759,13.79744418762275515178 51.14691075812449838622,13.79745069586090089331 51.14693660439693445596,13.79745512423369824262 51.14695803635275694887,13.79744806275103385929 51.14696772441347150107,13.79743627911586933976 51.14697206992050837471,13.79743461765319345602 51.14698038186875805877,13.7974390079997171199 51.14698875424558366376,13.79743088963034125527 51.1469904234449970204,13.79741300660508507292 51.14697684584567127786,13.79732072639925277713 51.14699124835472332506))";135;317991;346.72312
