Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Refugees,Asylum seekers,Other people in need of international protection,Internally displaced persons,Stateless Persons,Others of concern to UNHCR,Host community
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#affected+refugees,#affected+asylum_seekers,#affected+oip,#affected+idps,#affected+stateless,#affected+others,#affected+hst
2011,DEU,CAN,Germany,Canada,84,17,0,0,0,0,0
2011,DEU,FRA,Germany,France,10,0,0,0,0,0,0
2011,DEU,JOR,Germany,Jordan,0,6,0,0,0,0,0
2011,DEU,NZL,Germany,New Zealand,0,6,0,0,0,0,0
2011,DEU,SWE,Germany,Sweden,6,0,0,0,0,0,0
2011,DEU,USA,Germany,United States of America,64,0,0,0,0,0,0
2012,DEU,BEL,Germany,Belgium,5,0,0,0,0,0,0
2012,DEU,CAN,Germany,Canada,89,15,0,0,0,0,0
2012,DEU,FRA,Germany,France,10,0,0,0,0,0,0
2012,DEU,SWE,Germany,Sweden,6,0,0,0,0,0,0
2012,DEU,USA,Germany,United States of America,64,6,0,0,0,0,0
2013,DEU,ARG,Germany,Argentina,0,5,0,0,0,0,0
2013,DEU,AUS,Germany,Australia,0,5,0,0,0,0,0
2013,DEU,CAN,Germany,Canada,90,10,0,0,0,0,0
2013,DEU,FRA,Germany,France,9,0,0,0,0,0,0
2013,DEU,SWE,Germany,Sweden,6,0,0,0,0,0,0
2013,DEU,USA,Germany,United States of America,59,53,0,0,0,0,0
2014,DEU,AUS,Germany,Australia,5,0,0,0,0,0,0
2014,DEU,BEL,Germany,Belgium,5,0,0,0,0,0,0
2014,DEU,CAN,Germany,Canada,87,0,0,0,0,0,0
2014,DEU,FRA,Germany,France,8,0,0,0,0,0,0
2014,DEU,SWE,Germany,Sweden,6,0,0,0,0,0,0
2014,DEU,USA,Germany,United States of America,59,77,0,0,0,0,0
2015,DEU,AUS,Germany,Australia,5,5,0,0,0,0,0
2015,DEU,CAN,Germany,Canada,81,0,0,0,0,0,0
2015,DEU,FRA,Germany,France,7,5,0,0,0,0,0
2015,DEU,SWE,Germany,Sweden,6,0,0,0,0,0,0
2015,DEU,USA,Germany,United States of America,54,76,0,0,0,0,0
2016,DEU,ARG,Germany,Argentina,0,5,0,0,0,0,0
2016,DEU,AUS,Germany,Australia,5,5,0,0,0,0,0
2016,DEU,BRA,Germany,Brazil,0,5,0,0,0,0,0
2016,DEU,CAN,Germany,Canada,9,9,0,0,0,0,0
2016,DEU,FRA,Germany,France,7,0,0,0,0,0,0
2016,DEU,SWE,Germany,Sweden,5,0,0,0,0,0,0
2016,DEU,USA,Germany,United States of America,41,104,0,0,0,0,0
2017,DEU,ARG,Germany,Argentina,0,5,0,0,0,0,0
2017,DEU,AUS,Germany,Australia,5,10,0,0,0,0,0
2017,DEU,BRA,Germany,Brazil,0,8,0,0,0,0,0
2017,DEU,CAN,Germany,Canada,0,16,0,0,0,0,0
2017,DEU,CRI,Germany,Costa Rica,0,5,0,0,0,0,0
2017,DEU,FRA,Germany,France,6,0,0,0,0,0,0
2017,DEU,HUN,Germany,Hungary,0,5,0,0,0,0,0
2017,DEU,RUS,Germany,Russian Federation,10,5,0,0,0,0,0
2017,DEU,SWE,Germany,Sweden,5,0,0,0,0,0,0
2017,DEU,USA,Germany,United States of America,40,125,0,0,0,0,0
2018,DEU,AUS,Germany,Australia,5,9,0,0,0,0,0
2018,DEU,BRA,Germany,Brazil,0,7,0,0,0,0,0
2018,DEU,CAN,Germany,Canada,0,25,0,0,0,0,0
2018,DEU,CRI,Germany,Costa Rica,0,5,0,0,0,0,0
2018,DEU,FRA,Germany,France,5,0,0,0,0,0,0
2018,DEU,GBR,Germany,United Kingdom of Great Britain and Northern Ireland,0,5,0,0,0,0,0
2018,DEU,RUS,Germany,Russian Federation,9,0,0,0,0,0,0
2018,DEU,USA,Germany,United States of America,42,125,0,0,0,0,0
2019,DEU,AUS,Germany,Australia,5,9,0,0,0,0,0
2019,DEU,BRA,Germany,Brazil,0,10,0,0,0,0,0
2019,DEU,CAN,Germany,Canada,0,26,0,0,0,0,0
2019,DEU,CRI,Germany,Costa Rica,0,5,0,0,0,0,0
2019,DEU,FRA,Germany,France,5,0,0,0,0,0,0
2019,DEU,GBR,Germany,United Kingdom of Great Britain and Northern Ireland,0,5,0,0,0,0,0
2019,DEU,ITA,Germany,Italy,0,11,0,0,0,0,0
2019,DEU,RUS,Germany,Russian Federation,11,5,0,0,0,0,0
2019,DEU,ESP,Germany,Spain,0,5,0,0,0,0,0
2019,DEU,CHE,Germany,Switzerland,5,0,0,0,0,0,0
2019,DEU,USA,Germany,United States of America,43,125,0,0,0,0,0
2020,DEU,AUS,Germany,Australia,10,5,0,0,0,0,0
2020,DEU,BEL,Germany,Belgium,0,5,0,0,0,0,0
2020,DEU,BRA,Germany,Brazil,0,8,0,0,0,0,0
2020,DEU,CRI,Germany,Costa Rica,0,5,0,0,0,0,0
2020,DEU,FRA,Germany,France,5,0,0,0,0,0,0
2020,DEU,ITA,Germany,Italy,0,6,0,0,0,0,0
2020,DEU,PER,Germany,Peru,0,5,0,0,0,0,0
2020,DEU,RUS,Germany,Russian Federation,15,0,0,0,0,0,0
2020,DEU,CHE,Germany,Switzerland,5,0,0,0,0,0,0
2020,DEU,USA,Germany,United States of America,36,132,0,0,0,0,0
2021,DEU,AUS,Germany,Australia,10,5,0,0,0,0,0
2021,DEU,AUT,Germany,Austria,0,5,0,0,0,0,0
2021,DEU,BRA,Germany,Brazil,0,9,0,0,0,0,0
2021,DEU,CAN,Germany,Canada,0,19,0,0,0,0,0
2021,DEU,CRI,Germany,Costa Rica,0,19,0,0,0,0,0
2021,DEU,MEX,Germany,Mexico,0,10,0,0,0,0,0
2021,DEU,PER,Germany,Peru,0,5,0,0,0,0,0
2021,DEU,RUS,Germany,Russian Federation,15,0,0,0,0,0,0
2021,DEU,CHE,Germany,Switzerland,5,0,0,0,0,0,0
2021,DEU,USA,Germany,United States of America,29,176,0,0,0,0,0
