Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Procedure Type,Procedure Name,Application Type Code,Application Type,Application Data Type,Application Data,Application Average Persons Per Case,Number of Applications
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#indicator+procedure_type,#indicator+procedure+name,#indicator+application_type+code,#indicator+application_type,#indicator+application_data_type,#indicator+application_data,#indicator+application_average_persons+num,#inneed+asylum_seekers+applications
2012,DEU,USA,Germany,United States of America,G,Government,A,Appeal,P,Persons,0,17
2012,DEU,USA,Germany,United States of America,G,Government,N,New,C,Cases,0,13
2013,DEU,ARG,Germany,Argentina,G,Government,N,New,P,Persons,0,5
2013,DEU,AUS,Germany,Australia,G,Government,N,New,P,Persons,0,5
2013,DEU,AUT,Germany,Austria,G,Government,NR,New and repeat,P,Persons,0,5
2013,DEU,NOR,Germany,Norway,G,Government,A,Appeal,P,Persons,0,5
2013,DEU,CHE,Germany,Switzerland,G,Government,N,New,P,Persons,0,7
2013,DEU,USA,Germany,United States of America,G,Government,N,New,P,Persons,0,16
2013,DEU,USA,Germany,United States of America,G,Government,N,New,C,Cases,0,14
2014,DEU,CAN,Germany,Canada,G,Government,N,New,P,Persons,0,6
2014,DEU,GBR,Germany,United Kingdom of Great Britain and Northern Ireland,G,Government,N,New,P,Persons,0,5
2014,DEU,KGZ,Germany,Kyrgyzstan,G,Government,N,New,P,Persons,0,5
2014,DEU,NOR,Germany,Norway,G,Government,N,New,P,Persons,0,5
2014,DEU,CHE,Germany,Switzerland,G,Government,N,New,P,Persons,0,8
2014,DEU,USA,Germany,United States of America,G,Government,N,New,P,Persons,0,5
2014,DEU,USA,Germany,United States of America,G,Government,N,New,C,Cases,0,22
2015,DEU,AUS,Germany,Australia,G,Government,N,New,P,Persons,0,8
2015,DEU,BEL,Germany,Belgium,G,Government,N,New,P,Persons,0,5
2015,DEU,CAN,Germany,Canada,G,Government,N,New,P,Persons,0,5
2015,DEU,FRA,Germany,France,G,Government,N,New,P,Persons,0,5
2015,DEU,MEX,Germany,Mexico,G,Government,N,New,P,Persons,0,5
2015,DEU,USA,Germany,United States of America,G,Government,N,New,P,Persons,0,8
2015,DEU,USA,Germany,United States of America,G,Government,N,New,C,Cases,0,13
2016,DEU,AUS,Germany,Australia,G,Government,N,New,P,Persons,0,18
2016,DEU,BEL,Germany,Belgium,G,Government,N,New,P,Persons,0,5
2016,DEU,CAN,Germany,Canada,G,Government,N,New,P,Persons,0,9
2016,DEU,FRA,Germany,France,G,Government,A,Appeal,P,Persons,0,5
2016,DEU,GBR,Germany,United Kingdom of Great Britain and Northern Ireland,G,Government,N,New,P,Persons,0,5
2016,DEU,NOR,Germany,Norway,G,Government,A,Appeal,P,Persons,0,5
2016,DEU,NOR,Germany,Norway,G,Government,N,New,P,Persons,0,5
2016,DEU,CHE,Germany,Switzerland,G,Government,N,New,P,Persons,0,5
2016,DEU,USA,Germany,United States of America,G,Government,N,New,P,Persons,0,5
2016,DEU,USA,Germany,United States of America,G,Government,N,New,C,Cases,0,34
2017,DEU,AUS,Germany,Australia,G,Government,N,New,P,Persons,0,6
2017,DEU,BRA,Germany,Brazil,G,Government,N,New,P,Persons,0,5
2017,DEU,CAN,Germany,Canada,G,Government,A,Appeal,P,Persons,0,5
2017,DEU,CAN,Germany,Canada,G,Government,N,New,P,Persons,0,9
2017,DEU,CRI,Germany,Costa Rica,G,Government,N,New,P,Persons,0,5
2017,DEU,HUN,Germany,Hungary,G,Government,R,Repeat,P,Persons,0,5
2017,DEU,RUS,Germany,Russian Federation,G,Government,N,New,P,Persons,0,19
2017,DEU,CHE,Germany,Switzerland,G,Government,N,New,P,Persons,0,5
2017,DEU,USA,Germany,United States of America,G,Government,N,New,P,Persons,0,12
2017,DEU,USA,Germany,United States of America,G,Government,N,New,C,Cases,0,21
2018,DEU,AUT,Germany,Austria,G,Government,N,New,P,Persons,0,5
2018,DEU,BEL,Germany,Belgium,G,Government,N,New,P,Persons,0,5
2018,DEU,CAN,Germany,Canada,G,Government,N,New,P,Persons,0,25
2018,DEU,DNK,Germany,Denmark,G,Government,N,New,P,Persons,0,5
2018,DEU,RUS,Germany,Russian Federation,G,Government,N,New,P,Persons,0,5
2018,DEU,RUS,Germany,Russian Federation,G,Government,N,New,P,Persons,0,10
2018,DEU,CHE,Germany,Switzerland,G,Government,N,New,P,Persons,0,10
2018,DEU,USA,Germany,United States of America,G,Government,A,Appeal,P,Persons,0,20
2018,DEU,USA,Germany,United States of America,G,Government,N,New,P,Persons,0,9
2018,DEU,USA,Germany,United States of America,G,Government,N,New,C,Cases,0,16
2019,DEU,AUT,Germany,Austria,G,Government,N,New,P,Persons,0,5
2019,DEU,BRA,Germany,Brazil,G,Government,N,New,P,Persons,0,5
2019,DEU,CAN,Germany,Canada,G,Government,A,Appeal,P,Persons,0,6
2019,DEU,CAN,Germany,Canada,G,Government,N,New,P,Persons,0,18
2019,DEU,NOR,Germany,Norway,G,Government,N,New,P,Persons,0,9
2019,DEU,RUS,Germany,Russian Federation,G,Government,N,New,P,Persons,0,22
2019,DEU,ESP,Germany,Spain,G,Government,N,New,P,Persons,0,5
